DATE,THREEFF1
1990-07-18,8.0304
1990-07-19,8.0287
1990-07-20,7.9768
1990-07-23,7.9543
1990-07-24,8.0168
1990-07-25,8.0190
1990-07-26,8.0142
1990-07-27,7.9311
1990-07-30,7.8455
1990-07-31,7.8243
1990-08-01,7.7452
1990-08-02,7.7946
1990-08-03,7.6737
1990-08-06,7.7885
1990-08-07,7.9260
1990-08-08,7.9499
1990-08-09,7.9104
1990-08-10,7.8540
1990-08-13,7.8420
1990-08-14,7.8232
1990-08-15,7.8252
1990-08-16,7.9754
1990-08-17,8.0084
1990-08-20,8.0308
1990-08-21,8.0802
1990-08-22,8.1306
1990-08-23,8.1546
1990-08-24,8.1949
1990-08-27,8.1416
1990-08-28,8.1855
1990-08-29,8.1455
1990-08-30,8.0811
1990-08-31,8.0476
1990-09-03,.
1990-09-04,8.0394
1990-09-05,7.9878
1990-09-06,7.9900
1990-09-07,7.9730
1990-09-10,8.0258
1990-09-11,8.0224
1990-09-12,7.9730
1990-09-13,7.9321
1990-09-14,7.9695
1990-09-17,7.9638
1990-09-18,7.9577
1990-09-19,7.9990
1990-09-20,8.0236
1990-09-21,8.0386
1990-09-24,8.1215
1990-09-25,8.1362
1990-09-26,8.1354
1990-09-27,8.0429
1990-09-28,7.9726
1990-10-01,7.9068
1990-10-02,7.8698
1990-10-03,7.8461
1990-10-04,7.8299
1990-10-05,7.7868
1990-10-08,.
1990-10-09,7.9120
1990-10-10,7.9490
1990-10-11,7.9402
1990-10-12,7.8888
1990-10-15,7.8735
1990-10-16,7.8660
1990-10-17,7.8628
1990-10-18,7.8365
1990-10-19,7.7839
1990-10-22,7.7897
1990-10-23,7.7804
1990-10-24,7.7774
1990-10-25,7.7308
1990-10-26,7.7218
1990-10-29,7.7317
1990-10-30,7.7434
1990-10-31,7.6975
1990-11-01,7.6026
1990-11-02,7.5995
1990-11-05,7.5554
1990-11-06,7.5583
1990-11-07,7.5767
1990-11-08,7.5740
1990-11-09,7.5247
1990-11-12,.
1990-11-13,7.4817
1990-11-14,7.4770
1990-11-15,7.4768
1990-11-16,7.4415
1990-11-19,7.4841
1990-11-20,7.4798
1990-11-21,7.4308
1990-11-22,.
1990-11-23,7.4132
1990-11-26,7.4222
1990-11-27,7.4365
1990-11-28,7.4922
1990-11-29,7.5279
1990-11-30,7.4842
1990-12-03,7.4732
1990-12-04,7.4469
1990-12-05,7.4385
1990-12-06,7.4589
1990-12-07,7.3253
1990-12-10,7.2913
1990-12-11,7.2583
1990-12-12,7.2329
1990-12-13,7.2802
1990-12-14,7.3067
1990-12-17,7.2942
1990-12-18,7.2720
1990-12-19,7.1970
1990-12-20,7.2187
1990-12-21,7.2491
1990-12-24,7.3094
1990-12-25,.
1990-12-26,7.2944
1990-12-27,7.2711
1990-12-28,7.2631
1990-12-31,7.1876
1991-01-01,.
1991-01-02,7.0787
1991-01-03,7.0505
1991-01-04,7.1456
1991-01-07,7.1948
1991-01-08,7.1599
1991-01-09,7.1849
1991-01-10,7.1506
1991-01-11,7.1569
1991-01-14,7.2024
1991-01-15,7.2009
1991-01-16,7.2750
1991-01-17,7.2403
1991-01-18,7.1948
1991-01-21,.
1991-01-22,7.1638
1991-01-23,7.1396
1991-01-24,7.0746
1991-01-25,7.1247
1991-01-28,7.1313
1991-01-29,7.1137
1991-01-30,7.0792
1991-01-31,7.0636
1991-02-01,6.8326
1991-02-04,6.8018
1991-02-05,6.7904
1991-02-06,6.8104
1991-02-07,6.8219
1991-02-08,6.8448
1991-02-11,6.7817
1991-02-12,6.7645
1991-02-13,6.7511
1991-02-14,6.7461
1991-02-15,6.7949
1991-02-18,.
1991-02-19,6.8634
1991-02-20,6.8788
1991-02-21,6.8961
1991-02-22,6.9757
1991-02-25,6.9797
1991-02-26,7.0130
1991-02-27,7.0302
1991-02-28,7.0320
1991-03-01,7.2006
1991-03-04,7.1868
1991-03-05,7.1438
1991-03-06,7.1574
1991-03-07,7.1367
1991-03-08,7.1171
1991-03-11,7.0902
1991-03-12,7.1035
1991-03-13,7.0329
1991-03-14,6.9889
1991-03-15,7.0402
1991-03-18,7.1524
1991-03-19,7.2824
1991-03-20,7.2860
1991-03-21,7.2116
1991-03-22,7.2014
1991-03-25,7.2069
1991-03-26,7.2287
1991-03-27,7.1749
1991-03-28,7.1245
1991-03-29,.
1991-04-01,7.1041
1991-04-02,7.0479
1991-04-03,7.0574
1991-04-04,7.0251
1991-04-05,6.9915
1991-04-08,6.9886
1991-04-09,7.0135
1991-04-10,7.0995
1991-04-11,7.0472
1991-04-12,6.9820
1991-04-15,7.0014
1991-04-16,7.0182
1991-04-17,6.9959
1991-04-18,7.0899
1991-04-19,7.1298
1991-04-22,7.1493
1991-04-23,7.1186
1991-04-24,7.0522
1991-04-25,7.0079
1991-04-26,7.0217
1991-04-29,7.0108
1991-04-30,6.9451
1991-05-01,6.9091
1991-05-02,6.8796
1991-05-03,6.9065
1991-05-06,6.9141
1991-05-07,6.9049
1991-05-08,6.9210
1991-05-09,6.9359
1991-05-10,6.9592
1991-05-13,6.9372
1991-05-14,6.9288
1991-05-15,6.9085
1991-05-16,6.9158
1991-05-17,6.9338
1991-05-20,6.9577
1991-05-21,6.9398
1991-05-22,6.9034
1991-05-23,6.8696
1991-05-24,6.8580
1991-05-27,.
1991-05-28,6.8268
1991-05-29,6.8349
1991-05-30,6.8227
1991-05-31,6.8826
1991-06-03,6.9798
1991-06-04,7.0026
1991-06-05,7.0568
1991-06-06,7.1251
1991-06-07,7.2651
1991-06-10,7.2634
1991-06-11,7.2655
1991-06-12,7.3249
1991-06-13,7.3153
1991-06-14,7.2577
1991-06-17,7.2425
1991-06-18,7.2365
1991-06-19,7.2149
1991-06-20,7.1424
1991-06-21,7.1786
1991-06-24,7.2190
1991-06-25,7.2289
1991-06-26,7.2225
1991-06-27,7.1923
1991-06-28,7.0945
1991-07-01,7.1341
1991-07-02,7.1792
1991-07-03,7.1754
1991-07-04,.
1991-07-05,7.2539
1991-07-08,7.2138
1991-07-09,7.1939
1991-07-10,7.1646
1991-07-11,7.1114
1991-07-12,7.0744
1991-07-15,7.0617
1991-07-16,7.0518
1991-07-17,7.0787
1991-07-18,7.0743
1991-07-19,7.0365
1991-07-22,7.0447
1991-07-23,7.0680
1991-07-24,7.0104
1991-07-25,6.9878
1991-07-26,6.9577
1991-07-29,6.9223
1991-07-30,6.9195
1991-07-31,6.8656
1991-08-01,6.8995
1991-08-02,6.7421
1991-08-05,6.7138
1991-08-06,6.5896
1991-08-07,6.5634
1991-08-08,6.5381
1991-08-09,6.5071
1991-08-12,6.4989
1991-08-13,6.4759
1991-08-14,6.3823
1991-08-15,6.3427
1991-08-16,6.3198
1991-08-19,6.2403
1991-08-20,6.1840
1991-08-21,6.2674
1991-08-22,6.2538
1991-08-23,6.3997
1991-08-26,6.4414
1991-08-27,6.4041
1991-08-28,6.3077
1991-08-29,6.2523
1991-08-30,6.3314
1991-09-02,.
1991-09-03,6.3181
1991-09-04,6.2996
1991-09-05,6.3090
1991-09-06,6.2517
1991-09-09,6.2259
1991-09-10,6.2160
1991-09-11,6.2319
1991-09-12,6.2010
1991-09-13,6.1689
1991-09-16,6.1692
1991-09-17,6.1713
1991-09-18,6.1770
1991-09-19,6.1830
1991-09-20,6.1575
1991-09-23,6.1628
1991-09-24,6.1554
1991-09-25,6.1486
1991-09-26,6.0954
1991-09-27,6.0574
1991-09-30,6.0239
1991-10-01,6.0066
1991-10-02,6.0037
1991-10-03,5.9865
1991-10-04,5.9378
1991-10-07,5.9041
1991-10-08,5.8898
1991-10-09,5.8846
1991-10-10,5.9592
1991-10-11,5.9116
1991-10-14,.
1991-10-15,5.8522
1991-10-16,5.8310
1991-10-17,5.8898
1991-10-18,5.8928
1991-10-21,5.9150
1991-10-22,5.9576
1991-10-23,.
1991-10-24,5.9012
1991-10-25,5.8938
1991-10-28,5.8855
1991-10-29,5.7734
1991-10-30,5.7369
1991-10-31,5.6914
1991-11-01,5.6275
1991-11-04,5.6336
1991-11-05,5.7120
1991-11-06,5.6378
1991-11-07,5.6160
1991-11-08,5.6293
1991-11-11,.
1991-11-12,5.6485
1991-11-13,5.6798
1991-11-14,5.6165
1991-11-15,5.5592
1991-11-18,5.5531
1991-11-19,5.5118
1991-11-20,5.5244
1991-11-21,5.4732
1991-11-22,5.4693
1991-11-25,5.5028
1991-11-26,5.4547
1991-11-27,5.4381
1991-11-28,.
1991-11-29,5.3949
1991-12-02,5.3368
1991-12-03,5.2955
1991-12-04,5.2182
1991-12-05,5.2353
1991-12-06,5.1951
1991-12-09,5.0913
1991-12-10,5.0681
1991-12-11,5.0508
1991-12-12,5.0460
1991-12-13,5.0776
1991-12-16,5.0573
1991-12-17,5.0225
1991-12-18,5.1004
1991-12-19,5.0711
1991-12-20,4.8675
1991-12-23,4.8603
1991-12-24,4.8877
1991-12-25,.
1991-12-26,4.8930
1991-12-27,4.8843
1991-12-30,4.8446
1991-12-31,4.8142
1992-01-01,.
1992-01-02,4.7996
1992-01-03,4.8398
1992-01-06,4.7850
1992-01-07,4.7128
1992-01-08,4.6998
1992-01-09,4.7719
1992-01-10,4.8505
1992-01-13,4.9718
1992-01-14,5.0593
1992-01-15,5.1422
1992-01-16,5.1703
1992-01-17,5.1166
1992-01-20,.
1992-01-21,5.0207
1992-01-22,5.0304
1992-01-23,5.0965
1992-01-24,5.2008
1992-01-27,5.2319
1992-01-28,5.1683
1992-01-29,5.2208
1992-01-30,5.2654
1992-01-31,5.2201
1992-02-03,5.2643
1992-02-04,5.2273
1992-02-05,5.1826
1992-02-06,5.1379
1992-02-07,5.0498
1992-02-10,5.0298
1992-02-11,5.0675
1992-02-12,5.1287
1992-02-13,5.2677
1992-02-14,5.3470
1992-02-17,.
1992-02-18,5.3500
1992-02-19,5.3708
1992-02-20,5.3948
1992-02-21,5.5616
1992-02-24,5.5933
1992-02-25,5.5433
1992-02-26,5.4700
1992-02-27,5.4446
1992-02-28,5.3521
1992-03-02,5.5278
1992-03-03,5.5711
1992-03-04,5.5976
1992-03-05,5.7521
1992-03-06,5.7356
1992-03-09,5.6727
1992-03-10,5.7052
1992-03-11,5.7470
1992-03-12,5.9198
1992-03-13,6.0925
1992-03-16,6.0990
1992-03-17,6.0548
1992-03-18,6.0688
1992-03-19,6.0210
1992-03-20,6.0996
1992-03-23,6.1066
1992-03-24,6.0017
1992-03-25,5.9191
1992-03-26,5.9010
1992-03-27,5.8893
1992-03-30,5.8291
1992-03-31,5.7972
1992-04-01,5.7034
1992-04-02,5.7066
1992-04-03,5.5220
1992-04-06,5.4933
1992-04-07,5.4639
1992-04-08,5.4531
1992-04-09,5.1970
1992-04-10,5.2655
1992-04-13,5.2350
1992-04-14,5.2666
1992-04-15,5.3315
1992-04-16,5.4681
1992-04-17,.
1992-04-20,5.5828
1992-04-21,5.5502
1992-04-22,5.5456
1992-04-23,5.5510
1992-04-24,5.4767
1992-04-27,5.5442
1992-04-28,5.5182
1992-04-29,5.5068
1992-04-30,5.5473
1992-05-01,5.4363
1992-05-04,5.4206
1992-05-05,5.3882
1992-05-06,5.3451
1992-05-07,5.4293
1992-05-08,5.3665
1992-05-11,5.3119
1992-05-12,5.2564
1992-05-13,5.2001
1992-05-14,5.1932
1992-05-15,5.1763
1992-05-18,5.1713
1992-05-19,5.0504
1992-05-20,5.1554
1992-05-21,5.3925
1992-05-22,5.2995
1992-05-25,.
1992-05-26,5.4039
1992-05-27,5.3292
1992-05-28,5.2719
1992-05-29,5.2404
1992-06-01,5.3514
1992-06-02,5.2827
1992-06-03,5.2583
1992-06-04,5.2626
1992-06-05,5.1887
1992-06-08,5.1647
1992-06-09,5.1900
1992-06-10,5.1948
1992-06-11,5.1648
1992-06-12,5.1175
1992-06-15,5.1148
1992-06-16,5.0760
1992-06-17,5.0656
1992-06-18,5.0124
1992-06-19,5.0900
1992-06-22,5.0687
1992-06-23,5.1166
1992-06-24,4.9896
1992-06-25,4.9169
1992-06-26,4.9278
1992-06-29,4.8852
1992-06-30,4.9017
1992-07-01,4.8923
1992-07-02,4.6155
1992-07-03,.
1992-07-06,4.5330
1992-07-07,4.4614
1992-07-08,4.4514
1992-07-09,4.4534
1992-07-10,4.4151
1992-07-13,4.4274
1992-07-14,4.3540
1992-07-15,4.2598
1992-07-16,4.2682
1992-07-17,4.2694
1992-07-20,4.2741
1992-07-21,4.3069
1992-07-22,4.2809
1992-07-23,4.1979
1992-07-24,4.2274
1992-07-27,4.2558
1992-07-28,4.2398
1992-07-29,4.2487
1992-07-30,4.3482
1992-07-31,4.4497
1992-08-03,4.4569
