initial_year,winner_winner,winner_loser,loser_winner,loser_loser,repeat_winner_share
1971,68,37,39,66,64.8
1972,55,55,56,54,50
1973,72,43,41,74,62.6
1974,61,56,55,62,52.1
1975,87,30,30,87,74.4
1976,80,37,38,79,68.4
1977,85,35,37,83,70.8
1978,85,37,39,83,69.7
1979,89,35,36,88,71.8
1980,46,80,80,46,36.5
1981,81,49,46,84,62.3
1982,77,59,53,83,56.6
1983,83,65,64,85,56.1
1984,89,76,76,89,53.9
1985,110,75,70,115,59.5
1986,128,84,93,119,60.4
1987,96,148,145,99,39.3
1988,120,173,176,117,41
1989,190,129,121,189,59.6
1990,169,173,173,169,49.4
