Date,Value
1/24/2019,29.02
1/1/2019,28.41
1/1/2018,33.31
1/1/2017,28.06
1/1/2016,24.21
1/1/2015,26.49
1/1/2014,24.86
1/1/2013,21.9
1/1/2012,21.21
1/1/2011,22.98
1/1/2010,20.53
1/1/2009,15.17
1/1/2008,24.02
1/1/2007,27.21
1/1/2006,26.47
1/1/2005,26.59
1/1/2004,27.66
1/1/2003,22.9
1/1/2002,30.28
1/1/2001,36.98
1/1/2000,43.77
1/1/1999,40.57
1/1/1998,32.86
1/1/1997,28.33
1/1/1996,24.76
1/1/1995,20.22
1/1/1994,21.41
1/1/1993,20.32
1/1/1992,19.77
1/1/1991,15.61
1/1/1990,17.05
1/1/1989,15.09
1/1/1988,13.9
1/1/1987,14.92
1/1/1986,11.72
1/1/1985,10
1/1/1984,9.89
1/1/1983,8.76
1/1/1982,7.39
1/1/1981,9.26
1/1/1980,8.85
1/1/1979,9.26
1/1/1978,9.24
1/1/1977,11.44
1/1/1976,11.19
1/1/1975,8.92
1/1/1974,13.53
1/1/1973,18.71
1/1/1972,17.26
1/1/1971,16.46
1/1/1970,17.09
1/1/1969,21.19
1/1/1968,21.51
1/1/1967,20.43
1/1/1966,24.06
1/1/1965,23.27
1/1/1964,21.63
1/1/1963,19.26
1/1/1962,21.2
1/1/1961,18.47
1/1/1960,18.34
1/1/1959,17.98
1/1/1958,13.79
1/1/1957,16.72
1/1/1956,18.29
1/1/1955,15.99
1/1/1954,12
1/1/1953,13.01
1/1/1952,12.53
1/1/1951,11.9
1/1/1950,10.75
1/1/1949,10.25
1/1/1948,10.42
1/1/1947,11.47
1/1/1946,15.62
1/1/1945,11.96
1/1/1944,11.05
1/1/1943,10.15
1/1/1942,10.1
1/1/1941,13.9
1/1/1940,16.38
1/1/1939,15.6
1/1/1938,13.51
1/1/1937,21.62
1/1/1936,17.09
1/1/1935,11.5
1/1/1934,13.03
1/1/1933,8.73
1/1/1932,9.31
1/1/1931,16.71
1/1/1930,22.31
1/1/1929,27.08
1/1/1928,18.81
1/1/1927,13.19
1/1/1926,11.34
1/1/1925,9.69
1/1/1924,8.07
1/1/1923,8.15
1/1/1922,6.29
1/1/1921,5.12
1/1/1920,5.99
1/1/1919,6.1
1/1/1918,6.64
1/1/1917,10.99
1/1/1916,12.54
1/1/1915,10.36
1/1/1914,11.64
1/1/1913,13.15
1/1/1912,13.8
1/1/1911,14.05
1/1/1910,14.54
1/1/1909,14.77
1/1/1908,11.9
1/1/1907,17.22
1/1/1906,20.13
1/1/1905,18.46
1/1/1904,15.86
1/1/1903,20.32
1/1/1902,22.34
1/1/1901,20.97
1/1/1900,18.67
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
